iter	Passed	Remaining
0	12	2443
1	21	2138
2	30	2033
3	40	1996
4	50	1964
5	60	1956
6	70	1932
7	79	1907
8	88	1883
9	98	1867
10	107	1855
11	117	1842
12	126	1826
13	136	1809
14	145	1795
15	155	1792
16	165	1781
17	174	1762
18	184	1753
19	193	1738
20	201	1721
21	211	1707
22	220	1697
23	231	1697
24	241	1687
25	250	1676
26	260	1666
27	269	1655
28	278	1643
29	288	1636
30	298	1626
31	307	1616
32	324	1643
33	346	1689
34	366	1725
35	383	1745
36	398	1754
37	409	1745
38	419	1729
39	428	1714
40	437	1697
41	446	1680
42	455	1664
43	466	1652
44	474	1635
45	484	1622
46	494	1609
47	503	1594
48	512	1579
49	521	1565
50	531	1553
51	540	1539
52	550	1526
53	560	1514
54	569	1501
55	578	1487
56	587	1474
57	597	1462
58	606	1449
59	615	1436
60	625	1424
61	634	1411
62	643	1398
63	652	1387
64	663	1377
65	672	1364
66	681	1353
67	690	1340
68	700	1329
69	709	1318
70	719	1306
71	729	1296
72	738	1283
73	747	1272
74	757	1262
75	767	1252
76	776	1240
77	786	1229
78	795	1217
79	804	1206
80	813	1194
81	822	1183
82	831	1172
83	841	1161
84	850	1150
85	860	1140
86	870	1130
87	880	1120
88	889	1109
89	899	1099
90	908	1088
91	918	1078
92	927	1067
93	936	1056
94	946	1046
95	956	1036
96	965	1025
97	975	1014
98	984	1004
99	994	994
100	1003	983
101	1013	973
102	1023	964
103	1033	954
104	1043	944
105	1089	966
106	1100	956
107	1109	945
108	1119	934
109	1129	924
110	1139	913
111	1150	903
112	1161	894
113	1171	884
114	1182	873
115	1192	863
116	1202	853
117	1212	842
118	1222	831
119	1231	820
120	1240	809
121	1249	798
122	1259	788
123	1269	778
124	1279	767
125	1288	756
126	1298	746
127	1309	736
128	1320	726
129	1330	716
130	1341	706
131	1351	696
132	1365	687
133	1377	678
134	1386	667
135	1395	656
136	1405	646
137	1414	635
138	1423	624
139	1432	614
140	1441	603
141	1451	592
142	1460	582
143	1470	571
144	1479	561
145	1489	550
146	1498	540
147	1508	530
148	1518	519
149	1527	509
150	1537	499
151	1547	488
152	1556	478
153	1566	467
154	1575	457
155	1584	447
156	1594	436
157	1604	426
158	1613	415
159	1622	405
160	1631	395
161	1640	384
162	1650	374
163	1659	364
164	1669	354
165	1678	343
166	1687	333
167	1696	323
168	1705	312
169	1714	302
170	1723	292
171	1733	282
172	1742	271
173	1751	261
174	1761	251
175	1770	241
176	1780	231
177	1789	221
178	1799	211
179	1809	201
180	1818	190
181	1827	180
182	1836	170
183	1846	160
184	1855	150
185	1864	140
186	1874	130
187	1884	120
188	1893	110
189	1902	100
190	1912	90
191	1922	80
192	1931	70
193	1940	60
194	1949	49
195	1958	39
196	1968	29
197	1978	19
198	1987	9
199	1997	0
