iter	Passed	Remaining
0	9	7726
1	18	7553
2	26	7299
3	34	7122
4	42	7075
5	50	6987
6	59	6954
7	67	6921
8	75	6887
9	83	6882
10	91	6848
11	100	6834
12	108	6836
13	116	6816
14	125	6812
15	133	6799
16	141	6784
17	150	6776
18	158	6763
19	166	6763
20	175	6765
21	184	6775
22	192	6767
23	201	6767
24	209	6745
25	217	6723
26	225	6716
27	233	6696
28	242	6690
29	250	6680
30	258	6669
31	266	6655
32	275	6646
33	283	6639
34	291	6631
35	300	6623
36	308	6616
37	316	6597
38	325	6604
39	334	6596
40	342	6588
41	350	6582
42	359	6573
43	367	6559
44	375	6549
45	383	6538
46	391	6528
47	399	6515
48	408	6505
49	416	6499
50	424	6487
51	433	6478
52	441	6468
53	449	6462
54	458	6457
55	466	6448
56	474	6438
57	483	6432
58	491	6421
59	499	6409
60	507	6403
61	517	6407
62	525	6393
63	533	6389
64	541	6374
65	550	6366
66	558	6358
67	566	6345
68	574	6340
69	583	6331
70	591	6321
71	600	6319
72	608	6310
73	617	6304
74	625	6296
75	634	6292
76	642	6285
77	651	6280
78	659	6268
79	667	6261
80	676	6252
81	684	6244
82	692	6234
83	701	6226
84	709	6217
85	718	6212
86	726	6200
87	734	6192
88	742	6182
89	750	6171
90	758	6162
91	767	6153
92	775	6144
93	783	6137
94	791	6127
95	800	6119
96	808	6112
97	817	6104
98	825	6094
99	833	6083
100	841	6071
101	849	6066
102	858	6056
103	866	6049
104	874	6038
105	883	6031
106	891	6021
107	899	6014
108	908	6007
109	916	6000
110	925	5992
111	933	5983
112	941	5975
113	949	5966
114	958	5958
115	966	5949
116	974	5941
117	983	5933
118	991	5924
119	999	5914
120	1007	5906
121	1016	5897
122	1024	5890
123	1032	5880
124	1041	5871
125	1049	5864
126	1057	5853
127	1065	5845
128	1074	5837
129	1082	5830
130	1091	5822
131	1099	5813
132	1107	5804
133	1115	5795
134	1123	5784
135	1132	5777
136	1140	5769
137	1148	5760
138	1157	5752
139	1165	5745
140	1173	5735
141	1182	5729
142	1190	5720
143	1199	5714
144	1207	5706
145	1216	5698
146	1224	5691
147	1234	5689
148	1244	5689
149	1254	5685
150	1263	5683
151	1273	5679
152	1283	5680
153	1296	5692
154	1335	5814
155	1354	5850
156	1362	5841
157	1371	5831
158	1381	5828
159	1389	5819
160	1398	5810
161	1406	5801
162	1415	5790
163	1423	5781
164	1432	5772
165	1440	5760
166	1448	5749
167	1456	5738
168	1464	5729
169	1472	5718
170	1481	5709
171	1489	5699
172	1498	5690
173	1506	5680
174	1515	5671
175	1523	5661
176	1531	5651
177	1540	5641
178	1548	5631
179	1556	5620
180	1564	5611
181	1573	5601
182	1582	5593
183	1590	5584
184	1598	5574
185	1607	5565
186	1615	5554
187	1623	5544
188	1631	5534
189	1639	5523
190	1648	5513
191	1656	5504
192	1664	5494
193	1673	5485
194	1681	5475
195	1689	5465
196	1698	5456
197	1706	5446
198	1714	5437
199	1723	5428
200	1731	5419
201	1740	5410
202	1748	5400
203	1756	5390
204	1764	5380
205	1772	5370
206	1781	5360
207	1789	5351
208	1797	5340
209	1805	5331
210	1813	5321
211	1822	5311
212	1830	5302
213	1838	5291
214	1846	5282
215	1855	5273
216	1863	5263
217	1871	5254
218	1879	5244
219	1888	5234
220	1896	5226
221	1904	5216
222	1913	5208
223	1922	5200
224	1930	5189
225	1939	5184
226	1951	5185
227	1964	5187
228	1977	5190
229	1985	5179
230	1993	5169
231	2002	5160
232	2010	5150
233	2018	5140
234	2026	5131
235	2034	5120
236	2043	5112
237	2051	5102
238	2059	5092
239	2068	5085
240	2076	5075
241	2084	5065
242	2092	5055
243	2100	5045
244	2109	5036
245	2117	5026
246	2125	5016
247	2133	5006
248	2142	4998
249	2150	4988
250	2158	4979
251	2166	4969
252	2175	4961
253	2183	4950
254	2191	4941
255	2199	4931
256	2207	4922
257	2216	4913
258	2224	4904
259	2232	4894
260	2241	4886
261	2249	4877
262	2257	4867
263	2265	4857
264	2273	4847
265	2281	4838
266	2290	4829
267	2298	4819
268	2307	4812
269	2315	4802
270	2324	4793
271	2332	4785
272	2340	4775
273	2349	4767
274	2357	4758
275	2365	4748
276	2374	4739
277	2382	4730
278	2390	4720
279	2398	4711
280	2407	4702
281	2415	4693
282	2423	4684
283	2431	4674
284	2439	4665
285	2448	4656
286	2456	4648
287	2465	4639
288	2473	4630
289	2482	4622
290	2492	4616
291	2501	4609
292	2509	4599
293	2518	4591
294	2526	4582
295	2535	4574
296	2543	4565
297	2552	4556
298	2560	4546
299	2568	4538
300	2577	4529
301	2585	4520
302	2593	4511
303	2602	4502
304	2610	4493
305	2619	4484
306	2627	4475
307	2635	4467
308	2644	4458
309	2652	4449
310	2660	4439
311	2668	4430
312	2677	4422
313	2685	4412
314	2693	4403
315	2701	4394
316	2710	4386
317	2718	4376
318	2726	4366
319	2734	4358
320	2742	4349
321	2750	4339
322	2758	4330
323	2767	4322
324	2775	4313
325	2784	4305
326	2792	4296
327	2801	4288
328	2809	4278
329	2818	4270
330	2826	4260
331	2833	4250
332	2842	4241
333	2850	4233
334	2858	4224
335	2867	4215
336	2875	4206
337	2883	4196
338	2891	4187
339	2899	4179
340	2907	4169
341	2916	4161
342	2923	4151
343	2932	4142
344	2940	4134
345	2950	4126
346	2959	4119
347	2969	4113
348	2979	4106
349	2987	4097
350	2998	4092
351	3008	4084
352	3019	4079
353	3037	4083
354	3058	4092
355	3075	4094
356	3082	4084
357	3091	4075
358	3100	4067
359	3107	4057
360	3116	4048
361	3124	4040
362	3132	4030
363	3140	4020
364	3149	4011
365	3157	4002
366	3165	3993
367	3174	3984
368	3182	3976
369	3190	3966
370	3199	3958
371	3207	3948
372	3215	3940
373	3224	3931
374	3232	3922
375	3240	3913
376	3249	3904
377	3257	3894
378	3264	3885
379	3273	3876
380	3281	3867
381	3290	3858
382	3298	3849
383	3307	3841
384	3315	3832
385	3323	3823
386	3331	3813
387	3340	3805
388	3348	3795
389	3355	3786
390	3363	3776
391	3372	3767
392	3380	3759
393	3388	3750
394	3397	3741
395	3405	3732
396	3413	3722
397	3421	3713
398	3429	3704
399	3437	3695
400	3445	3686
401	3453	3677
402	3461	3667
403	3469	3658
404	3478	3649
405	3485	3640
406	3494	3631
407	3502	3622
408	3510	3613
409	3518	3604
410	3526	3595
411	3535	3586
412	3543	3577
413	3551	3568
414	3559	3559
415	3566	3549
416	3575	3541
417	3583	3531
418	3591	3522
419	3599	3513
420	3606	3503
421	3615	3495
422	3622	3485
423	3630	3476
424	3638	3467
425	3646	3458
426	3657	3451
427	3668	3445
428	3679	3439
429	3690	3432
430	3698	3423
431	3706	3415
432	3714	3405
433	3722	3396
434	3730	3387
435	3739	3379
436	3747	3369
437	3754	3360
438	3762	3351
439	3770	3342
440	3778	3333
441	3786	3324
442	3795	3315
443	3803	3306
444	3811	3297
445	3819	3288
446	3827	3279
447	3835	3270
448	3843	3261
449	3851	3252
450	3860	3244
451	3868	3235
452	3876	3225
453	3884	3216
454	3891	3207
455	3899	3198
456	3907	3189
457	3915	3180
458	3923	3171
459	3931	3162
460	3939	3153
461	3947	3144
462	3955	3135
463	3963	3126
464	3971	3117
465	3978	3107
466	3987	3099
467	3994	3089
468	4003	3081
469	4011	3072
470	4019	3063
471	4026	3054
472	4034	3045
473	4042	3036
474	4051	3027
475	4059	3018
476	4067	3009
477	4074	3000
478	4082	2991
479	4091	2983
480	4098	2974
481	4107	2965
482	4115	2956
483	4123	2947
484	4131	2938
485	4139	2929
486	4147	2920
487	4155	2912
488	4163	2903
489	4171	2894
490	4178	2885
491	4187	2876
492	4195	2867
493	4203	2858
494	4211	2849
495	4218	2840
496	4226	2832
497	4234	2823
498	4242	2814
499	4250	2805
500	4258	2796
501	4266	2787
502	4274	2779
503	4282	2770
504	4290	2761
505	4299	2752
506	4307	2744
507	4315	2735
508	4324	2726
509	4332	2718
510	4340	2709
511	4347	2700
512	4356	2691
513	4363	2682
514	4372	2674
515	4379	2665
516	4387	2656
517	4396	2647
518	4404	2639
519	4412	2630
520	4421	2622
521	4428	2612
522	4436	2604
523	4443	2595
524	4452	2586
525	4460	2578
526	4473	2572
527	4481	2563
528	4491	2555
529	4500	2547
530	4509	2539
531	4521	2532
532	4531	2524
533	4540	2516
534	4550	2508
535	4559	2500
536	4568	2492
537	4575	2483
538	4584	2475
539	4592	2466
540	4600	2457
541	4608	2448
542	4616	2439
543	4624	2431
544	4632	2422
545	4640	2413
546	4648	2404
547	4657	2396
548	4666	2388
549	4675	2380
550	4685	2372
551	4693	2363
552	4703	2355
553	4712	2347
554	4721	2339
555	4730	2331
556	4746	2326
557	4770	2325
558	4783	2319
559	4792	2310
560	4801	2302
561	4809	2293
562	4818	2284
563	4826	2276
564	4833	2267
565	4842	2258
566	4850	2249
567	4858	2240
568	4866	2232
569	4874	2223
570	4882	2214
571	4890	2205
572	4898	2197
573	4906	2188
574	4914	2179
575	4922	2170
576	4930	2162
577	4938	2153
578	4946	2144
579	4954	2135
580	4962	2126
581	4970	2118
582	4978	2109
583	4986	2100
584	4995	2091
585	5002	2083
586	5010	2074
587	5018	2065
588	5027	2056
589	5035	2048
590	5043	2039
591	5051	2030
592	5059	2021
593	5067	2013
594	5075	2004
595	5083	1995
596	5091	1987
597	5099	1978
598	5107	1969
599	5115	1960
600	5123	1952
601	5131	1943
602	5139	1934
603	5148	1926
604	5156	1917
605	5164	1908
606	5172	1900
607	5180	1891
608	5189	1883
609	5197	1874
610	5205	1865
611	5213	1857
612	5221	1848
613	5229	1839
614	5237	1831
615	5245	1822
616	5253	1813
617	5260	1804
618	5269	1796
619	5277	1787
620	5285	1778
621	5294	1770
622	5301	1761
623	5309	1752
624	5317	1744
625	5326	1735
626	5334	1727
627	5342	1718
628	5350	1709
629	5359	1701
630	5366	1692
631	5374	1683
632	5382	1675
633	5391	1666
634	5399	1658
635	5407	1649
636	5415	1640
637	5424	1632
638	5431	1623
639	5440	1615
640	5448	1606
641	5456	1597
642	5464	1589
643	5471	1580
644	5479	1571
645	5487	1563
646	5495	1554
647	5503	1545
648	5512	1537
649	5519	1528
650	5527	1519
651	5535	1511
652	5543	1502
653	5551	1494
654	5559	1485
655	5567	1476
656	5575	1468
657	5583	1459
658	5591	1450
659	5599	1442
660	5607	1433
661	5615	1425
662	5623	1416
663	5631	1407
664	5639	1399
665	5647	1390
666	5655	1381
667	5663	1373
668	5671	1364
669	5679	1356
670	5687	1347
671	5695	1339
672	5703	1330
673	5711	1321
674	5719	1313
675	5727	1304
676	5735	1296
677	5743	1287
678	5750	1278
679	5759	1270
680	5767	1261
681	5775	1253
682	5782	1244
683	5790	1236
684	5798	1227
685	5806	1218
686	5814	1210
687	5822	1201
688	5830	1193
689	5838	1184
690	5846	1176
691	5854	1167
692	5862	1158
693	5870	1150
694	5878	1141
695	5886	1133
696	5894	1124
697	5902	1116
698	5910	1107
699	5918	1099
700	5926	1090
701	5934	1082
702	5942	1073
703	5950	1064
704	5958	1056
705	5966	1047
706	5974	1039
707	5982	1030
708	5990	1022
709	5998	1013
710	6006	1005
711	6014	996
712	6022	988
713	6030	979
714	6038	971
715	6046	962
716	6053	954
717	6061	945
718	6070	937
719	6077	928
720	6086	920
721	6094	911
722	6102	903
723	6110	894
724	6118	886
725	6126	877
726	6133	869
727	6141	860
728	6149	852
729	6157	843
730	6165	835
731	6173	826
732	6181	817
733	6189	809
734	6197	801
735	6205	792
736	6213	784
737	6221	775
738	6229	767
739	6237	758
740	6245	750
741	6253	741
742	6261	733
743	6269	724
744	6277	716
745	6286	707
746	6294	699
747	6302	690
748	6310	682
749	6317	673
750	6325	665
751	6333	656
752	6343	648
753	6353	640
754	6362	632
755	6371	623
756	6379	615
757	6389	606
758	6398	598
759	6409	590
760	6430	583
761	6450	575
762	6466	567
763	6475	559
764	6483	550
765	6491	542
766	6499	533
767	6507	525
768	6515	516
769	6523	508
770	6531	499
771	6539	491
772	6547	482
773	6555	474
774	6563	465
775	6571	457
776	6579	448
777	6587	440
778	6595	431
779	6603	423
780	6611	414
781	6619	406
782	6627	397
783	6634	389
784	6642	380
785	6650	372
786	6658	363
787	6666	355
788	6674	346
789	6683	338
790	6691	329
791	6698	321
792	6706	312
793	6714	304
794	6722	295
795	6730	287
796	6738	279
797	6746	270
798	6754	262
799	6762	253
800	6770	245
801	6778	236
802	6786	228
803	6794	219
804	6802	211
805	6809	202
806	6817	194
807	6825	185
808	6833	177
809	6841	168
810	6849	160
811	6857	152
812	6865	143
813	6873	135
814	6881	126
815	6889	118
816	6897	109
817	6905	101
818	6913	92
819	6920	84
820	6929	75
821	6937	67
822	6945	59
823	6952	50
824	6961	42
825	6968	33
826	6976	25
827	6985	16
828	6992	8
829	7000	0
