iter	Logloss
0	0.5260975879
1	0.4198618438
2	0.3715675464
3	0.343657825
4	0.3196176491
5	0.3087614093
6	0.3003137532
7	0.291544121
8	0.2825048611
9	0.2761023136
10	0.2703591472
11	0.2636629945
12	0.259302537
13	0.2560490833
14	0.2510471988
15	0.2476019584
16	0.2444014466
17	0.2390574422
18	0.2366048448
19	0.2318154131
20	0.2302728315
21	0.2281334438
22	0.2265119391
23	0.2246898573
24	0.2222345006
25	0.2201579383
26	0.2184901879
27	0.2172870255
28	0.2131872707
29	0.21169478
30	0.2094478653
31	0.206537024
32	0.2043114241
33	0.2024678046
34	0.2009396277
35	0.1994734455
36	0.1975644815
37	0.1963509174
38	0.1953084826
39	0.1942610263
40	0.1928600415
41	0.1912776414
42	0.1901433033
43	0.1883623703
44	0.1867397372
45	0.1849999846
46	0.1827877062
47	0.181310268
48	0.1796481675
49	0.178650446
50	0.1773223121
51	0.1759963722
52	0.1741519281
53	0.1726972943
54	0.1711515532
55	0.1696506216
56	0.1680046006
57	0.1671122639
58	0.1662931613
59	0.1644295238
60	0.1633717624
61	0.1611513966
62	0.1596601699
63	0.1587129459
64	0.1572143475
65	0.1563939955
66	0.1555059499
67	0.1542188835
68	0.1528631122
69	0.1517907609
70	0.1506935219
71	0.1492763448
72	0.1483339847
73	0.1474719829
74	0.1467573332
75	0.1460331497
76	0.1448028203
77	0.1437748489
78	0.1427002212
79	0.1416330073
80	0.1394770188
81	0.1381191773
82	0.1374059216
83	0.1365867124
84	0.1354638799
85	0.1345629796
86	0.133770345
87	0.1325513193
88	0.1315008053
89	0.1301193646
90	0.1289301768
91	0.1282209165
92	0.1274888448
93	0.1268734028
94	0.125960614
95	0.1252558784
96	0.1244617481
97	0.1238441693
98	0.1225485489
99	0.1216193541
100	0.1209812911
101	0.1195667147
102	0.118823855
103	0.1181625333
104	0.1175805284
105	0.1170085737
106	0.1164670787
107	0.1151773642
108	0.1147382994
109	0.1140217949
110	0.1133299423
111	0.1120966458
112	0.1113408496
113	0.1102844728
114	0.1094543369
115	0.1085992238
116	0.1078847438
117	0.1072464671
118	0.1068854614
119	0.1063949531
120	0.1059058522
121	0.1051315125
122	0.1041923247
123	0.103389152
124	0.1027712666
125	0.1022162883
126	0.1014783722
127	0.100757436
128	0.1005199826
129	0.09919546978
130	0.09855374483
131	0.09786139455
132	0.09738643604
133	0.09670493724
134	0.09602739423
135	0.09532181745
136	0.09474526907
137	0.09415857042
138	0.09365969226
139	0.09293878382
140	0.09209267402
141	0.09152239042
142	0.09116595225
143	0.09101049137
144	0.0901073505
145	0.08948500761
146	0.08875919828
147	0.08794076136
148	0.08739622637
149	0.08659232759
150	0.08617486395
151	0.0852312367
152	0.08464470196
153	0.08439875746
154	0.08390607792
155	0.08362467498
156	0.0829415873
157	0.08233083964
158	0.08198181197
159	0.08122140982
160	0.0808782476
161	0.08036332315
162	0.07989899196
163	0.07959781437
164	0.07913302283
165	0.07872982423
166	0.07843151648
167	0.07814725779
168	0.07780611579
169	0.07738648562
170	0.07704095812
171	0.07675056113
172	0.07642544428
173	0.07601993982
174	0.07524057078
175	0.07504570764
176	0.07446336119
177	0.07385614368
178	0.0734879393
179	0.07290064116
180	0.07255092135
181	0.07237672094
182	0.07192419776
183	0.07127242529
184	0.07077773573
185	0.07038350212
186	0.07017418048
187	0.06964918171
188	0.0693976742
189	0.06918568445
190	0.06875762231
191	0.06835787764
192	0.0680567694
193	0.06792181899
194	0.06777919678
195	0.06729511517
196	0.06692003878
197	0.06653894183
198	0.0658782884
199	0.06569031672
200	0.06536363154
201	0.06483238611
202	0.06435940911
203	0.06405466542
204	0.06336812127
205	0.06306449243
206	0.06287802785
207	0.06249606968
208	0.06225391278
209	0.06197279493
210	0.06161534856
211	0.06128834812
212	0.06096409464
213	0.0607831695
214	0.0605123819
215	0.06009002461
216	0.05978226199
217	0.05956907574
218	0.05935396731
219	0.05893638791
220	0.05861346212
221	0.05827559401
222	0.05790350046
223	0.05749599746
224	0.05706156833
225	0.05671609051
226	0.056385044
227	0.0560291546
228	0.05554506457
229	0.05540851621
230	0.05507699746
231	0.05479596511
232	0.05456204662
233	0.05427803305
234	0.05410548016
235	0.05367719292
236	0.05350372305
237	0.05331892817
238	0.05308315571
239	0.05283041081
240	0.05248039219
241	0.05221775053
242	0.05197690381
243	0.05163954225
244	0.05131755836
245	0.05103342556
246	0.05081533672
247	0.05069115801
248	0.05051076835
249	0.05014538943
250	0.04986509989
251	0.04965025999
252	0.04949571698
253	0.04914596507
254	0.04894856265
255	0.04885675413
256	0.0485586799
257	0.04838319631
258	0.04822570387
259	0.0480477632
260	0.04789747447
261	0.04775564847
262	0.04746674377
263	0.04734424004
264	0.04714420505
265	0.0470463816
266	0.04687994879
267	0.0467368676
268	0.04648468183
269	0.0463458578
270	0.04614367722
271	0.04586008344
272	0.04555521102
273	0.04547721393
274	0.04527593412
275	0.04502781599
276	0.04490233527
277	0.04470929665
278	0.04452013385
279	0.04430103486
280	0.0441990361
281	0.04412143998
282	0.04398616397
283	0.04368919045
284	0.04333575184
285	0.04310239871
286	0.04281595568
287	0.04268149249
288	0.04251539699
289	0.04233003397
290	0.04221597918
291	0.04201548346
292	0.04186913709
293	0.04160203234
294	0.04136274345
295	0.04119489866
296	0.0410599339
297	0.04089078147
298	0.04081085842
299	0.04069589059
