iter	Passed	Remaining
0	7	2144
1	13	1976
2	19	1920
3	25	1899
4	33	1949
5	39	1959
6	46	1957
7	53	1935
8	59	1927
9	65	1904
10	72	1908
11	78	1893
12	85	1880
13	91	1863
14	97	1860
15	103	1841
16	109	1821
17	114	1798
18	120	1789
19	127	1778
20	133	1767
21	139	1758
22	145	1751
23	151	1742
24	157	1737
25	165	1739
26	171	1729
27	177	1720
28	182	1709
29	189	1702
30	194	1692
31	201	1685
32	207	1674
33	212	1665
34	219	1662
35	226	1664
36	232	1654
37	238	1645
38	245	1640
39	251	1633
40	258	1632
41	280	1722
42	293	1753
43	300	1749
44	307	1741
45	313	1730
46	320	1722
47	326	1713
48	332	1704
49	338	1691
50	344	1683
51	351	1674
52	357	1664
53	363	1657
54	370	1648
55	376	1640
56	382	1631
57	388	1621
58	394	1613
59	401	1606
60	408	1601
61	414	1592
62	421	1585
63	428	1581
64	445	1609
65	458	1626
66	468	1630
67	477	1630
68	488	1636
69	496	1630
70	502	1621
71	509	1611
72	515	1603
73	522	1594
74	527	1582
75	533	1571
76	538	1559
77	544	1550
78	550	1541
79	557	1533
80	563	1524
81	569	1514
82	575	1505
83	582	1497
84	588	1488
85	594	1478
86	601	1472
87	608	1465
88	614	1455
89	620	1447
90	627	1440
91	634	1433
92	640	1426
93	646	1416
94	653	1409
95	658	1400
96	665	1393
97	671	1383
98	677	1375
99	682	1365
100	689	1358
101	695	1349
102	701	1341
103	706	1332
104	712	1323
105	718	1315
106	724	1307
107	730	1299
108	737	1291
109	743	1284
110	749	1275
111	755	1268
112	763	1262
113	769	1255
114	775	1247
115	781	1240
116	789	1234
117	795	1227
118	802	1220
119	808	1212
120	815	1205
121	822	1199
122	828	1192
123	834	1184
124	841	1177
125	847	1170
126	853	1162
127	859	1154
128	865	1147
129	872	1140
130	878	1132
131	883	1124
132	890	1117
133	896	1110
134	903	1104
135	910	1098
136	916	1090
137	922	1082
138	928	1075
139	935	1068
140	940	1060
141	946	1052
142	952	1045
143	958	1038
144	965	1032
145	972	1026
146	978	1018
147	985	1012
148	991	1005
149	998	998
150	1004	990
151	1010	983
152	1016	976
153	1021	968
154	1027	961
155	1034	955
156	1040	947
157	1046	940
158	1053	933
159	1059	927
160	1066	920
161	1072	913
162	1077	905
163	1083	898
164	1089	891
165	1094	883
166	1100	876
167	1106	869
168	1112	862
169	1118	855
170	1124	848
171	1130	841
172	1136	834
173	1142	827
174	1147	819
175	1154	813
176	1160	806
177	1167	799
178	1174	793
179	1180	787
180	1193	784
181	1218	789
182	1231	787
183	1237	780
184	1243	772
185	1249	765
186	1255	758
187	1261	751
188	1268	744
189	1274	738
190	1281	731
191	1288	724
192	1294	717
193	1300	710
194	1306	703
195	1313	696
196	1318	689
197	1325	682
198	1331	675
199	1338	669
200	1344	662
201	1351	655
202	1357	648
203	1364	642
204	1371	635
205	1377	628
206	1384	621
207	1390	615
208	1397	608
209	1404	601
210	1410	595
211	1417	588
212	1423	581
213	1429	574
214	1435	567
215	1442	560
216	1448	554
217	1455	547
218	1461	540
219	1467	533
220	1483	530
221	1517	533
222	1524	526
223	1540	522
224	1546	515
225	1551	508
226	1557	500
227	1563	493
228	1570	486
229	1576	479
230	1582	472
231	1589	465
232	1594	458
233	1600	451
234	1607	444
235	1615	438
236	1622	431
237	1629	424
238	1635	417
239	1642	410
240	1649	403
241	1655	396
242	1662	389
243	1669	383
244	1675	376
245	1682	369
246	1688	362
247	1693	355
248	1699	348
249	1706	341
250	1712	334
251	1719	327
252	1725	320
253	1732	313
254	1738	306
255	1744	299
256	1750	292
257	1756	285
258	1762	279
259	1767	271
260	1773	265
261	1779	258
262	1786	251
263	1792	244
264	1798	237
265	1804	230
266	1811	223
267	1818	217
268	1830	210
269	1853	205
270	1861	199
271	1872	192
272	1878	185
273	1883	178
274	1889	171
275	1896	164
276	1902	157
277	1908	151
278	1913	144
279	1920	137
280	1926	130
281	1933	123
282	1939	116
283	1944	109
284	1950	102
285	1956	95
286	1962	88
287	1969	82
288	1976	75
289	1982	68
290	1988	61
291	1995	54
292	2000	47
293	2007	40
294	2013	34
295	2020	27
296	2026	20
297	2033	13
298	2039	6
299	2045	0
